Query	KO_ID	KO_name,KO_definition	Hyperlink	Paths
Glyma.01G005200	K18592	GGT1_5, CD224; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]	http://www.genome.jp/dbget-bin/www_bget?ko:K18592	ko00430;ko00460;ko00480;ko00590;ko01100
Glyma.01G005300	K12403	AP4S1; AP-4 complex subunit sigma-1	http://www.genome.jp/dbget-bin/www_bget?ko:K12403	ko04142
Glyma.01G005400	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	http://www.genome.jp/dbget-bin/www_bget?ko:K00850	ko00010;ko00030;ko00051;ko00052;ko00680;ko01100;ko01110;ko01120;ko01130;ko01200;ko01230;ko03018;ko04066;ko04152;ko04922;ko05230
Glyma.01G005600	K23880	RETREG; reticulophagy regulator	http://www.genome.jp/dbget-bin/www_bget?ko:K23880	_
Glyma.01G005900	K05759	PFN; profilin	http://www.genome.jp/dbget-bin/www_bget?ko:K05759	ko04013;ko04015;ko04810;ko05131;ko05132
Glyma.01G006100	K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	http://www.genome.jp/dbget-bin/www_bget?ko:K01887	ko00970
Glyma.01G006400	K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	http://www.genome.jp/dbget-bin/www_bget?ko:K01887	ko00970
Glyma.01G006500	K03021	RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]	http://www.genome.jp/dbget-bin/www_bget?ko:K03021	ko03020;ko04623
Glyma.01G006600	K08333	PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K08333	ko04136;ko04138;ko04140;ko04371;ko05016;ko05017;ko05131
Glyma.01G006700	K01301	NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]	http://www.genome.jp/dbget-bin/www_bget?ko:K01301	_
Glyma.01G006800	K01051	E3.1.1.11; pectinesterase [EC:3.1.1.11]	http://www.genome.jp/dbget-bin/www_bget?ko:K01051	ko00040;ko01100;ko02020
Glyma.01G007100	K03327	TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family	http://www.genome.jp/dbget-bin/www_bget?ko:K03327	_
Glyma.01G007200	K00844	HK; hexokinase [EC:2.7.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K00844	ko00010;ko00051;ko00052;ko00500;ko00520;ko00521;ko00524;ko01100;ko01110;ko01120;ko01130;ko01200;ko04066;ko04910;ko04930;ko04973;ko05131;ko05230
Glyma.01G007300	K00844	HK; hexokinase [EC:2.7.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K00844	ko00010;ko00051;ko00052;ko00500;ko00520;ko00521;ko00524;ko01100;ko01110;ko01120;ko01130;ko01200;ko04066;ko04910;ko04930;ko04973;ko05131;ko05230
Glyma.01G007400	K00924	E2.7.1.-; kinase [EC:2.7.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K00924	_
Glyma.01G007500	K23880	RETREG; reticulophagy regulator	http://www.genome.jp/dbget-bin/www_bget?ko:K23880	_
Glyma.01G007700	K17795	TIM17; mitochondrial import inner membrane translocase subunit TIM17	http://www.genome.jp/dbget-bin/www_bget?ko:K17795	_
Glyma.01G007800	K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	http://www.genome.jp/dbget-bin/www_bget?ko:K00558	ko00270;ko01100;ko05206
Glyma.01G008100	K19366	SPG20; spartin	http://www.genome.jp/dbget-bin/www_bget?ko:K19366	ko04144
Glyma.01G008200	K05658	ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]	http://www.genome.jp/dbget-bin/www_bget?ko:K05658	ko02010;ko04976;ko05206;ko05226
Glyma.01G008300	K14490	AHP; histidine-containing phosphotransfer peotein	http://www.genome.jp/dbget-bin/www_bget?ko:K14490	ko04075
Glyma.01G008500	K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	http://www.genome.jp/dbget-bin/www_bget?ko:K00029	ko00620;ko00710;ko01100;ko01120;ko01200;ko03320
Glyma.01G008600	K06063	SNW1, SKIIP, SKIP; SNW domain-containing protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K06063	ko03040;ko04330;ko05169;ko05203
Glyma.01G008700	K11699	RDR, RDRP; RNA-dependent RNA polymerase [EC:2.7.7.48]	http://www.genome.jp/dbget-bin/www_bget?ko:K11699	_
Glyma.01G008800	K02990	RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6	http://www.genome.jp/dbget-bin/www_bget?ko:K02990	ko03010
Glyma.01G009300	K07151	STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]	http://www.genome.jp/dbget-bin/www_bget?ko:K07151	ko00510;ko00513;ko01100;ko04141
Glyma.01G009800	K02916	RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35	http://www.genome.jp/dbget-bin/www_bget?ko:K02916	ko03010
Glyma.01G010000	K01904	4CL; 4-coumarate--CoA ligase [EC:6.2.1.12]	http://www.genome.jp/dbget-bin/www_bget?ko:K01904	ko00130;ko00940;ko01100;ko01110
Glyma.01G010100	K21989	TMEM63; calcium permeable stress-gated cation channel	http://www.genome.jp/dbget-bin/www_bget?ko:K21989	_
Glyma.01G010200	K00855	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	http://www.genome.jp/dbget-bin/www_bget?ko:K00855	ko00710;ko01100;ko01120;ko01200
Glyma.01G010300	K19995	SCAMP; secretory carrier-associated membrane protein	http://www.genome.jp/dbget-bin/www_bget?ko:K19995	_
Glyma.01G010400	K14811	DBP3; ATP-dependent RNA helicase DBP3 [EC:3.6.4.13]	http://www.genome.jp/dbget-bin/www_bget?ko:K14811	_
Glyma.01G010500	K13457	RPM1, RPS3; disease resistance protein RPM1	http://www.genome.jp/dbget-bin/www_bget?ko:K13457	ko04626
Glyma.01G010700	K13457	RPM1, RPS3; disease resistance protein RPM1	http://www.genome.jp/dbget-bin/www_bget?ko:K13457	ko04626
Glyma.01G011100	K03039	PSMD13, RPN9; 26S proteasome regulatory subunit N9	http://www.genome.jp/dbget-bin/www_bget?ko:K03039	ko03050;ko05169
Glyma.01G011300	K23541	TMEM165, GDT1; Ca2+/H+ antiporter, TMEM165/GDT1 family	http://www.genome.jp/dbget-bin/www_bget?ko:K23541	_
Glyma.01G011400	K12189	VPS25, EAP20; ESCRT-II complex subunit VPS25	http://www.genome.jp/dbget-bin/www_bget?ko:K12189	ko04144
Glyma.01G011500	K13806	DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K13806	ko04723;ko04745;ko04925
Glyma.01G011600	K13806	DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K13806	ko04723;ko04745;ko04925
Glyma.01G011700	K23541	TMEM165, GDT1; Ca2+/H+ antiporter, TMEM165/GDT1 family	http://www.genome.jp/dbget-bin/www_bget?ko:K23541	_
Glyma.01G012000	K19613	SHOC2, SUR8; leucine-rich repeat protein SHOC2	http://www.genome.jp/dbget-bin/www_bget?ko:K19613	ko04014
Glyma.01G012100	K13806	DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K13806	ko04723;ko04745;ko04925
Glyma.01G012200	K13806	DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K13806	ko04723;ko04745;ko04925
Glyma.01G012500	K17498	SPN1, IWS1; transcription factor SPN1	http://www.genome.jp/dbget-bin/www_bget?ko:K17498	_
Glyma.01G012800	K13806	DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K13806	ko04723;ko04745;ko04925
Glyma.01G013100	K19613	SHOC2, SUR8; leucine-rich repeat protein SHOC2	http://www.genome.jp/dbget-bin/www_bget?ko:K19613	ko04014
Glyma.01G013200	K13806	DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K13806	ko04723;ko04745;ko04925
Glyma.01G013500	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.01G013600	K09060	GBF; plant G-box-binding factor	http://www.genome.jp/dbget-bin/www_bget?ko:K09060	_
Glyma.01G013900	K08235	E2.4.1.207; xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]	http://www.genome.jp/dbget-bin/www_bget?ko:K08235	_
Glyma.01G014000	K20924	CSLD; cellulose synthase-like protein [EC:2.4.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K20924	_
Glyma.01G014100	K01076	ABHD17; abhydrolase domain-containing protein 17 [EC:3.1.2.22]	http://www.genome.jp/dbget-bin/www_bget?ko:K01076	_
Glyma.01G014200	K00630	ATS1; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	http://www.genome.jp/dbget-bin/www_bget?ko:K00630	ko00561;ko00564;ko01100
Glyma.01G014600	K09338	HD-ZIP; homeobox-leucine zipper protein	http://www.genome.jp/dbget-bin/www_bget?ko:K09338	_
Glyma.01G014700	K11446	KDM5, JARID1; [histone H3]-trimethyl-L-lysine4 demethylase [EC:1.14.11.67]	http://www.genome.jp/dbget-bin/www_bget?ko:K11446	_
Glyma.01G015600	K08488	STX7; syntaxin 7	http://www.genome.jp/dbget-bin/www_bget?ko:K08488	ko04130;ko04145
Glyma.01G015800	K20604	MKK9; mitogen-activated protein kinase kinase 9 [EC:2.7.12.2]	http://www.genome.jp/dbget-bin/www_bget?ko:K20604	ko04016
Glyma.01G015900	K09419	HSFF; heat shock transcription factor, other eukaryote	http://www.genome.jp/dbget-bin/www_bget?ko:K09419	_
Glyma.01G016400	K07441	ALG14; beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]	http://www.genome.jp/dbget-bin/www_bget?ko:K07441	ko00510;ko00513;ko01100
Glyma.01G016500	K05658	ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]	http://www.genome.jp/dbget-bin/www_bget?ko:K05658	ko02010;ko04976;ko05206;ko05226
Glyma.01G016600	K09422	MYBP; transcription factor MYB, plant	http://www.genome.jp/dbget-bin/www_bget?ko:K09422	_
Glyma.01G016700	K00913	ITPK1; inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase [EC:2.7.1.159 2.7.1.134]	http://www.genome.jp/dbget-bin/www_bget?ko:K00913	ko00562;ko01100;ko04070
Glyma.01G016900	K14837	NOP12; nucleolar protein 12	http://www.genome.jp/dbget-bin/www_bget?ko:K14837	_
Glyma.01G017900	K19761	GGACT; gamma-glutamylaminecyclotransferase [EC:2.3.2.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K19761	_
Glyma.01G018300	K11855	USP36_42; ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]	http://www.genome.jp/dbget-bin/www_bget?ko:K11855	_
Glyma.01G018400	K13422	MYC2; transcription factor MYC2	http://www.genome.jp/dbget-bin/www_bget?ko:K13422	ko04016;ko04075
Glyma.01G018800	K14496	PYL; abscisic acid receptor PYR/PYL family	http://www.genome.jp/dbget-bin/www_bget?ko:K14496	ko04016;ko04075
Glyma.01G019000	K15109	SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29	http://www.genome.jp/dbget-bin/www_bget?ko:K15109	ko04714
Glyma.01G019100	K00703	glgA; starch synthase [EC:2.4.1.21]	http://www.genome.jp/dbget-bin/www_bget?ko:K00703	ko00500;ko01100;ko01110;ko02026
Glyma.01G019200	K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	http://www.genome.jp/dbget-bin/www_bget?ko:K01610	ko00010;ko00020;ko00620;ko00710;ko01100;ko01110;ko01120;ko01130;ko01200
Glyma.01G019400	K14484	IAA; auxin-responsive protein IAA	http://www.genome.jp/dbget-bin/www_bget?ko:K14484	ko04075
Glyma.01G020100	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.01G020200	K05752	C3ORF10, HSPC300; chromosome 3 open reading frame 10	http://www.genome.jp/dbget-bin/www_bget?ko:K05752	ko04810;ko05130;ko05132
Glyma.01G020300	K01414	prlC; oligopeptidase A [EC:3.4.24.70]	http://www.genome.jp/dbget-bin/www_bget?ko:K01414	_
Glyma.01G020500	K09264	K09264; MADS-box transcription factor, plant	http://www.genome.jp/dbget-bin/www_bget?ko:K09264	_
Glyma.01G020800	K18195	RGL4, rhiE; rhamnogalacturonan endolyase [EC:4.2.2.23]	http://www.genome.jp/dbget-bin/www_bget?ko:K18195	_
Glyma.01G020900	K23232	10HGO; 8-hydroxygeraniol dehydrogenase [EC:1.1.1.324]	http://www.genome.jp/dbget-bin/www_bget?ko:K23232	ko00902;ko01100;ko01110
Glyma.01G021000	K23232	10HGO; 8-hydroxygeraniol dehydrogenase [EC:1.1.1.324]	http://www.genome.jp/dbget-bin/www_bget?ko:K23232	ko00902;ko01100;ko01110
Glyma.01G021200	K10406	KIFC2_3; kinesin family member C2/C3	http://www.genome.jp/dbget-bin/www_bget?ko:K10406	_
Glyma.01G021400	K21444	PCBP3_4; poly(rC)-binding protein 3/4	http://www.genome.jp/dbget-bin/www_bget?ko:K21444	_
Glyma.01G021700	K23452	UGT85A; UDP-glucosyltransferase 85A [EC:2.4.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K23452	ko00908;ko01110
Glyma.01G022100	K11251	H2A; histone H2A	http://www.genome.jp/dbget-bin/www_bget?ko:K11251	ko04217;ko05034;ko05322
Glyma.01G022300	K23452	UGT85A; UDP-glucosyltransferase 85A [EC:2.4.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K23452	ko00908;ko01110
Glyma.01G022400	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.01G022500	K09285	OVM, ANT; AP2-like factor, ANT lineage	http://www.genome.jp/dbget-bin/www_bget?ko:K09285	_
Glyma.01G022600	K23880	RETREG; reticulophagy regulator	http://www.genome.jp/dbget-bin/www_bget?ko:K23880	_
Glyma.01G023200	K22047	MSL1_2_3; mechanosensitive ion channel protein 1/2/3	http://www.genome.jp/dbget-bin/www_bget?ko:K22047	_
Glyma.01G023300	K23280	RRT; rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]	http://www.genome.jp/dbget-bin/www_bget?ko:K23280	_
Glyma.01G023500	K09264	K09264; MADS-box transcription factor, plant	http://www.genome.jp/dbget-bin/www_bget?ko:K09264	_
Glyma.01G023700	K05310	PIGG, GPI7; ethanolamine phosphate transferase 2 subunit G [EC:2.7.-.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K05310	ko00563
Glyma.01G023900	K11855	USP36_42; ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]	http://www.genome.jp/dbget-bin/www_bget?ko:K11855	_
Glyma.01G024000	K15104	SLC25A11, OGC; solute carrier family 25 (mitochondrial oxoglutarate transporter), member 11	http://www.genome.jp/dbget-bin/www_bget?ko:K15104	_
Glyma.01G024700	K18810	CYCD1_2_4; cyclin D1/2/4, plant	http://www.genome.jp/dbget-bin/www_bget?ko:K18810	_
Glyma.01G024800	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	http://www.genome.jp/dbget-bin/www_bget?ko:K00850	ko00010;ko00030;ko00051;ko00052;ko00680;ko01100;ko01110;ko01120;ko01130;ko01200;ko01230;ko03018;ko04066;ko04152;ko04922;ko05230
Glyma.01G025200	K03327	TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family	http://www.genome.jp/dbget-bin/www_bget?ko:K03327	_
Glyma.01G025400	K09286	EREBP; EREBP-like factor	http://www.genome.jp/dbget-bin/www_bget?ko:K09286	_
Glyma.01G025600	K23880	RETREG; reticulophagy regulator	http://www.genome.jp/dbget-bin/www_bget?ko:K23880	_
Glyma.01G026000	K05656	ABCB9, TAPL; ATP-binding cassette, subfamily B (MDR/TAP), member 9	http://www.genome.jp/dbget-bin/www_bget?ko:K05656	ko02010;ko04142
Glyma.01G026100	K02900	RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae	http://www.genome.jp/dbget-bin/www_bget?ko:K02900	ko03010
Glyma.01G026200	K03327	TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family	http://www.genome.jp/dbget-bin/www_bget?ko:K03327	_
Glyma.01G026500	K07126	K07126; uncharacterized protein	http://www.genome.jp/dbget-bin/www_bget?ko:K07126	_
Glyma.01G026700	K14272	GGAT; glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44]	http://www.genome.jp/dbget-bin/www_bget?ko:K14272	ko00220;ko00250;ko00260;ko00630;ko00710;ko01100;ko01110;ko01120;ko01130;ko01200;ko01210;ko01230
Glyma.01G026800	K20308	TRAPPC11; trafficking protein particle complex subunit 11	http://www.genome.jp/dbget-bin/www_bget?ko:K20308	_
Glyma.01G027000	K00430	E1.11.1.7; peroxidase [EC:1.11.1.7]	http://www.genome.jp/dbget-bin/www_bget?ko:K00430	ko00940;ko01100;ko01110
Glyma.01G027100	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.01G027300	K12393	AP1M; AP-1 complex subunit mu	http://www.genome.jp/dbget-bin/www_bget?ko:K12393	ko04142;ko05170
Glyma.01G027400	K16903	TAA1; L-tryptophan---pyruvate aminotransferase [EC:2.6.1.99]	http://www.genome.jp/dbget-bin/www_bget?ko:K16903	ko00380;ko01100
Glyma.01G027500	K01046	lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]	http://www.genome.jp/dbget-bin/www_bget?ko:K01046	ko00561;ko01100
Glyma.01G028033	K23880	RETREG; reticulophagy regulator	http://www.genome.jp/dbget-bin/www_bget?ko:K23880	_
Glyma.01G028100	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.01G028200	K23095	MENG, menG; demethylphylloquinol methyltransferase [EC:2.1.1.329]	http://www.genome.jp/dbget-bin/www_bget?ko:K23095	ko00130;ko01100;ko01110
Glyma.01G028600	K23877	AXY4, AXY4L; xyloglucan O-acetyltransferase	http://www.genome.jp/dbget-bin/www_bget?ko:K23877	_
Glyma.01G028700	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.01G028900	K01648	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	http://www.genome.jp/dbget-bin/www_bget?ko:K01648	ko00020;ko00720;ko01100;ko01110;ko01120;ko01130
Glyma.01G029000	K12272	SRPRB, SRP102; signal recognition particle receptor subunit beta	http://www.genome.jp/dbget-bin/www_bget?ko:K12272	ko03060
Glyma.01G029200	K02977	RP-S27Ae, RPS27A; small subunit ribosomal protein S27Ae	http://www.genome.jp/dbget-bin/www_bget?ko:K02977	ko03010
Glyma.01G029400	K03007	RPB10, POLR2L; DNA-directed RNA polymerases I, II, and III subunit RPABC5	http://www.genome.jp/dbget-bin/www_bget?ko:K03007	ko03020;ko04623;ko05016
Glyma.01G029500	K19042	BOI; E3 ubiquitin-protein ligase BOI and related proteins [EC:2.3.2.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K19042	_
Glyma.01G029600	K03246	EIF3I; translation initiation factor 3 subunit I	http://www.genome.jp/dbget-bin/www_bget?ko:K03246	ko03013
Glyma.01G029800	K07937	ARF1; ADP-ribosylation factor 1	http://www.genome.jp/dbget-bin/www_bget?ko:K07937	ko04072;ko04144;ko05110;ko05130;ko05131;ko05132;ko05134
Glyma.01G030200	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.01G030400	K11866	STAMBP, AMSH; STAM-binding protein [EC:3.4.19.12]	http://www.genome.jp/dbget-bin/www_bget?ko:K11866	ko04144
Glyma.01G030500	K01673	cynT, can; carbonic anhydrase [EC:4.2.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K01673	ko00910;ko01100
Glyma.01G031400	K12822	RBM25, S164; RNA-binding protein 25	http://www.genome.jp/dbget-bin/www_bget?ko:K12822	ko03040
Glyma.01G031500	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	http://www.genome.jp/dbget-bin/www_bget?ko:K00128	ko00010;ko00053;ko00071;ko00280;ko00310;ko00330;ko00340;ko00380;ko00410;ko00561;ko00620;ko00625;ko00903;ko00981;ko01100;ko01110;ko01120;ko01130
Glyma.01G031700	K00797	speE, SRM, SPE3; spermidine synthase [EC:2.5.1.16]	http://www.genome.jp/dbget-bin/www_bget?ko:K00797	ko00270;ko00330;ko00480;ko01100
Glyma.01G031800	K03549	kup; KUP system potassium uptake protein	http://www.genome.jp/dbget-bin/www_bget?ko:K03549	_
Glyma.01G031900	K16055	TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]	http://www.genome.jp/dbget-bin/www_bget?ko:K16055	ko00500;ko01100;ko01110
Glyma.01G032100	K12391	AP1G1; AP-1 complex subunit gamma-1	http://www.genome.jp/dbget-bin/www_bget?ko:K12391	ko04142;ko05170
