Chr	start	end	number	type	color
chr1	16200000	16299999	2	rect	green
chr1	16300000	16399999	3	rect	green
chr1	16400000	16499999	3	rect	green
chr1	16500000	16599999	5	rect	green
chr1	16600000	16699999	2	rect	green
chr1	16800000	16899999	3	rect	green
chr1	16900000	16999999	2	rect	green
chr1	17000000	17099999	3	rect	green
chr1	17100000	17199999	4	rect	green
chr1	17300000	17399999	1	rect	green
chr1	17500000	17599999	3	rect	green
chr1	17600000	17699999	3	rect	green
chr1	17700000	17799999	1	rect	green
chr1	17900000	17999999	2	rect	green
chr1	18000000	18099999	5	rect	green
chr1	18100000	18199999	1	rect	green
chr1	18300000	18399999	1	rect	green
chr1	18400000	18499999	2	rect	green
chr1	18500000	18599999	4	rect	green
chr1	19000000	19099999	1	rect	green
chr1	19100000	19199999	2	rect	green
chr1	19200000	19299999	2	rect	green
chr1	19300000	19399999	2	rect	green
chr1	19400000	19499999	5	rect	green
chr1	19500000	19599999	5	rect	green
chr1	19600000	19699999	2	rect	green
chr1	19800000	19899999	4	rect	green
chr1	19900000	19999999	3	rect	green
chr1	20000000	20099999	7	rect	green
chr1	20100000	20199999	3	rect	green
chr1	20200000	20299999	1	rect	green
chr1	20300000	20399999	3	rect	green
chr1	20400000	20499999	2	rect	green
chr1	20500000	20599999	7	rect	green
chr1	20600000	20699999	2	rect	green
chr1	20700000	20799999	2	rect	green
chr1	20900000	20999999	2	rect	green
chr1	21000000	21099999	2	rect	green
chr1	21100000	21199999	3	rect	green
chr1	21200000	21299999	3	rect	green
chr1	21300000	21399999	1	rect	green
chr1	21400000	21499999	2	rect	green
chr1	21500000	21599999	1	rect	green
chr1	21600000	21699999	3	rect	green
chr1	21700000	21799999	3	rect	green
chr1	21800000	21899999	1	rect	green
chr1	21900000	21999999	1	rect	green
chr1	22000000	22099999	1	rect	green
chr1	22100000	22199999	5	rect	green
chr1	22200000	22299999	2	rect	green
chr1	22300000	22399999	2	rect	green
chr1	22400000	22499999	3	rect	green
chr1	22500000	22599999	4	rect	green
chr1	22600000	22699999	2	rect	green
chr1	22700000	22799999	2	rect	green
chr1	22800000	22899999	1	rect	green
chr1	23300000	23399999	4	rect	green
chr1	23600000	23699999	1	rect	green
chr1	23800000	23899999	1	rect	green
chr1	23900000	23999999	4	rect	green
chr1	24300000	24399999	5	rect	green
chr1	24400000	24499999	2	rect	green
chr1	24500000	24599999	3	rect	green
chr1	24600000	24699999	3	rect	green
chr1	24800000	24899999	5	rect	green
chr1	24900000	24999999	6	rect	green
chr1	25000000	25099999	4	rect	green
chr1	25100000	25199999	3	rect	green
chr1	25200000	25299999	2	rect	green
chr1	25300000	25399999	5	rect	green
chr1	25400000	25499999	4	rect	green
chr1	25500000	25599999	1	rect	green
chr1	25600000	25699999	5	rect	green
chr1	25700000	25799999	3	rect	green
chr1	25900000	25999999	1	rect	green
chr1	26000000	26099999	4	rect	green
chr1	26100000	26199999	8	rect	green
chr1	26200000	26299999	4	rect	green
chr1	26300000	26399999	2	rect	green
chr1	26400000	26499999	1	rect	green
chr1	26500000	26599999	1	rect	green
chr1	26700000	26799999	1	rect	green
chr1	26800000	26899999	3	rect	green
chr1	26900000	26999999	2	rect	green
chr1	27000000	27099999	3	rect	green
chr1	27200000	27299999	1	rect	green
chr1	27300000	27399999	1	rect	green
chr1	27400000	27499999	4	rect	green
chr1	27500000	27599999	6	rect	green
chr1	27600000	27699999	1	rect	green
chr1	27800000	27899999	2	rect	green
chr1	27900000	27999999	4	rect	green
chr1	28000000	28099999	2	rect	green
chr1	28200000	28299999	4	rect	green
chr1	28300000	28399999	1	rect	green
chr1	28400000	28499999	6	rect	green
chr1	28500000	28599999	5	rect	green
chr1	28600000	28699999	1	rect	green
chr1	28700000	28799999	4	rect	green
chr1	28800000	28899999	4	rect	green
chr1	28900000	28999999	3	rect	green
chr1	29000000	29099999	8	rect	green
chr1	29100000	29199999	3	rect	green
chr1	29200000	29299999	4	rect	green
chr1	29300000	29399999	3	rect	green
chr1	29400000	29499999	4	rect	green
chr1	29500000	29599999	4	rect	green
chr1	29600000	29699999	3	rect	green
chr1	29900000	29999999	2	rect	green
chr1	30000000	30099999	2	rect	green
chr1	30200000	30299999	2	rect	green
chr1	30300000	30399999	1	rect	green
chr1	30400000	30499999	1	rect	green
chr1	30500000	30599999	4	rect	green
chr1	30600000	30699999	2	rect	green
chr1	30700000	30799999	4	rect	green
chr1	30800000	30899999	4	rect	green
chr1	30900000	30999999	3	rect	green
chr1	31000000	31099999	1	rect	green
chr1	31100000	31199999	3	rect	green
chr1	31200000	31299999	2	rect	green
chr1	31300000	31399999	3	rect	green
chr1	31500000	31599999	4	rect	green
chr1	31600000	31699999	5	rect	green
chr1	31700000	31799999	1	rect	green
chr1	31800000	31899999	6	rect	green
chr1	31900000	31999999	4	rect	green
chr1	32000000	32099999	2	rect	green
chr2	0	99999	1	rect	green
chr2	600000	699999	1	rect	green
chr2	800000	899999	3	rect	green
chr2	900000	999999	7	rect	green
chr2	1000000	1099999	4	rect	green
chr2	1100000	1199999	1	rect	green
chr2	1200000	1299999	3	rect	green
chr2	1300000	1399999	4	rect	green
chr2	1500000	1599999	3	rect	green
chr2	1700000	1799999	2	rect	green
chr2	1800000	1899999	3	rect	green
chr2	1900000	1999999	1	rect	green
chr2	2000000	2099999	4	rect	green
chr2	2100000	2199999	8	rect	green
chr2	2200000	2299999	2	rect	green
chr2	2300000	2399999	4	rect	green
chr2	2400000	2499999	1	rect	green
chr2	2600000	2699999	3	rect	green
chr2	2700000	2799999	2	rect	green
chr2	2800000	2899999	2	rect	green
chr2	2900000	2999999	1	rect	green
chr2	3000000	3099999	2	rect	green
chr2	3100000	3199999	1	rect	green
chr2	3200000	3299999	1	rect	green
chr2	3300000	3399999	3	rect	green
chr2	3400000	3499999	1	rect	green
chr2	3500000	3599999	4	rect	green
chr2	3600000	3699999	3	rect	green
chr2	3700000	3799999	3	rect	green
chr2	4000000	4099999	3	rect	green
chr2	4100000	4199999	1	rect	green
chr2	4300000	4399999	2	rect	green
chr2	4400000	4499999	3	rect	green
chr2	4500000	4599999	1	rect	green
chr2	4600000	4699999	4	rect	green
chr2	4800000	4899999	1	rect	green
chr2	4900000	4999999	4	rect	green
chr2	5000000	5099999	3	rect	green
chr2	5100000	5199999	4	rect	green
chr2	5200000	5299999	7	rect	green
chr2	5300000	5399999	2	rect	green
chr2	5400000	5499999	1	rect	green
chr2	5500000	5599999	2	rect	green
chr2	5600000	5699999	2	rect	green
chr2	5700000	5799999	1	rect	green
chr2	5800000	5899999	1	rect	green
chr2	5900000	5999999	2	rect	green
chr2	6000000	6099999	2	rect	green
chr2	6100000	6199999	1	rect	green
chr2	6200000	6299999	2	rect	green
chr2	6300000	6399999	5	rect	green
chr2	6400000	6499999	2	rect	green
chr2	6500000	6599999	5	rect	green
chr2	6600000	6699999	2	rect	green
chr2	6800000	6899999	1	rect	green
chr2	6900000	6999999	2	rect	green
chr2	7100000	7199999	2	rect	green
chr2	7300000	7399999	4	rect	green
chr2	7400000	7499999	3	rect	green
chr2	7500000	7599999	2	rect	green
chr2	7600000	7699999	3	rect	green
chr2	7800000	7899999	2	rect	green
chr2	7900000	7999999	3	rect	green
chr2	8000000	8099999	1	rect	green
chr2	8100000	8199999	3	rect	green
chr2	8200000	8299999	3	rect	green
chr2	8400000	8499999	2	rect	green
chr2	8500000	8599999	2	rect	green
chr2	8600000	8699999	3	rect	green
chr2	8700000	8799999	2	rect	green
chr2	8800000	8899999	9	rect	green
chr2	9000000	9099999	4	rect	green
chr2	9100000	9199999	1	rect	green
chr2	9300000	9399999	2	rect	green
chr2	9400000	9499999	5	rect	green
chr2	9600000	9699999	4	rect	green
chr2	9700000	9799999	3	rect	green
chr2	9800000	9899999	1	rect	green
chr2	9900000	9999999	3	rect	green
chr2	10000000	10099999	1	rect	green
chr2	10100000	10199999	2	rect	green
chr2	10200000	10299999	3	rect	green
chr2	10300000	10399999	4	rect	green
chr2	10400000	10499999	1	rect	green
chr2	10500000	10599999	1	rect	green
chr2	10700000	10799999	2	rect	green
chr2	10800000	10899999	1	rect	green
chr2	10900000	10999999	2	rect	green
chr2	11000000	11099999	1	rect	green
chr2	11200000	11299999	2	rect	green
chr2	11300000	11399999	6	rect	green
chr2	11400000	11499999	2	rect	green
chr2	11500000	11599999	3	rect	green
chr2	11600000	11699999	3	rect	green
chr2	11700000	11799999	2	rect	green
chr2	11800000	11899999	1	rect	green
chr2	11900000	11999999	2	rect	green
chr2	12000000	12099999	1	rect	green
chr2	12100000	12199999	4	rect	green
chr2	12200000	12299999	3	rect	green
chr2	12300000	12399999	1	rect	green
chr2	12400000	12499999	4	rect	green
chr2	12500000	12599999	4	rect	green
chr2	12600000	12699999	1	rect	green
chr2	12700000	12799999	1	rect	green
chr2	12900000	12999999	4	rect	green
chr2	13000000	13099999	3	rect	green
chr2	13100000	13199999	3	rect	green
chr2	13200000	13299999	4	rect	green
chr2	13300000	13399999	2	rect	green
chr2	13400000	13499999	2	rect	green
chr2	13500000	13599999	1	rect	green
chr2	13600000	13699999	5	rect	green
chr2	13700000	13799999	1	rect	green
chr2	13800000	13899999	2	rect	green
chr2	13900000	13999999	4	rect	green
chr2	14000000	14099999	2	rect	green
chr2	14200000	14299999	5	rect	green
chr2	14300000	14399999	4	rect	green
chr2	14400000	14499999	3	rect	green
chr2	14500000	14599999	1	rect	green
chr2	14600000	14699999	2	rect	green
chr2	14700000	14799999	3	rect	green
chr2	14800000	14899999	3	rect	green
chr2	14900000	14999999	2	rect	green
chr2	15000000	15099999	7	rect	green
chr2	15100000	15199999	6	rect	green
chr2	15200000	15299999	2	rect	green
chr2	15300000	15399999	4	rect	green
chr2	15500000	15599999	1	rect	green
chr2	15600000	15699999	5	rect	green
chr2	15700000	15799999	3	rect	green
chr2	15800000	15899999	2	rect	green
chr2	15900000	15999999	1	rect	green
chr2	16000000	16099999	3	rect	green
chr2	16100000	16199999	1	rect	green
chr2	16200000	16299999	2	rect	green
chr2	16300000	16399999	5	rect	green
chr2	16400000	16499999	4	rect	green
chr2	16600000	16699999	3	rect	green
chr2	16700000	16799999	1	rect	green
chr2	17000000	17099999	2	rect	green
chr2	17100000	17199999	2	rect	green
chr2	17200000	17299999	4	rect	green
chr2	17500000	17599999	2	rect	green
chr2	17600000	17699999	3	rect	green
chr2	17900000	17999999	1	rect	green
chr2	18000000	18099999	3	rect	green
chr2	18100000	18199999	5	rect	green
chr2	18200000	18299999	1	rect	green
chr2	18300000	18399999	2	rect	green
chr2	18400000	18499999	1	rect	green
chr2	18600000	18699999	4	rect	green
chr2	18800000	18899999	2	rect	green
chr2	19000000	19099999	3	rect	green
chr2	19100000	19199999	1	rect	green
chr2	19200000	19299999	2	rect	green
chr2	19300000	19399999	5	rect	green
chr2	19400000	19499999	1	rect	green
chr2	19500000	19599999	1	rect	green
chr2	19600000	19699999	4	rect	green
chr2	19700000	19799999	4	rect	green
chr2	19800000	19899999	1	rect	green
chr2	19900000	19999999	2	rect	green
chr2	20000000	20099999	4	rect	green
chr2	20100000	20199999	2	rect	green
chr2	20200000	20299999	2	rect	green
chr2	20500000	20599999	4	rect	green
chr2	20600000	20699999	1	rect	green
chr2	20700000	20799999	5	rect	green
chr2	20800000	20899999	6	rect	green
chr2	20900000	20999999	4	rect	green
chr2	21000000	21099999	6	rect	green
chr2	21100000	21199999	5	rect	green
chr2	21200000	21299999	4	rect	green
chr2	21300000	21399999	5	rect	green
chr2	21400000	21499999	5	rect	green
chr2	21500000	21599999	1	rect	green
chr2	21600000	21699999	1	rect	green
chr2	21800000	21899999	2	rect	green
chr2	21900000	21999999	1	rect	green
chr2	22100000	22199999	3	rect	green
chr2	22200000	22299999	1	rect	green
chr2	22300000	22399999	2	rect	green
chr2	22500000	22599999	1	rect	green
chr2	22700000	22799999	3	rect	green
chr2	22900000	22999999	2	rect	green
chr2	23000000	23099999	4	rect	green
chr2	23400000	23499999	3	rect	green
chr2	23500000	23599999	3	rect	green
chr2	23600000	23699999	2	rect	green
chr2	23700000	23799999	4	rect	green
chr2	23800000	23899999	2	rect	green
chr2	23900000	23999999	2	rect	green
chr2	24000000	24099999	4	rect	green
chr2	24100000	24199999	4	rect	green
chr2	24200000	24299999	1	rect	green
chr2	24300000	24399999	2	rect	green
chr2	24400000	24499999	8	rect	green
chr2	24500000	24599999	1	rect	green
chr2	24600000	24699999	3	rect	green
chr2	24700000	24799999	4	rect	green
chr2	24800000	24899999	3	rect	green
chr2	24900000	24999999	2	rect	green
chr2	25000000	25099999	4	rect	green
chr2	25100000	25199999	2	rect	green
chr2	25200000	25299999	1	rect	green
chr2	25500000	25599999	6	rect	green
chr2	25600000	25699999	4	rect	green
chr2	25700000	25799999	3	rect	green
chr2	25800000	25899999	3	rect	green
chr2	25900000	25999999	3	rect	green
chr2	26100000	26199999	1	rect	green
chr2	26200000	26299999	4	rect	green
chr2	26300000	26399999	4	rect	green
chr2	26400000	26499999	2	rect	green
chr2	26500000	26599999	1	rect	green
chr2	26600000	26699999	1	rect	green
chr2	26800000	26899999	3	rect	green
chr2	26900000	26999999	3	rect	green
chr2	27000000	27099999	2	rect	green
chr2	27100000	27199999	3	rect	green
chr2	27200000	27299999	1	rect	green
chr2	27300000	27399999	3	rect	green
chr2	27400000	27499999	2	rect	green
chr2	27500000	27599999	4	rect	green
chr2	27600000	27699999	3	rect	green
chr2	27700000	27799999	2	rect	green
chr2	27800000	27899999	2	rect	green
chr2	27900000	27999999	4	rect	green
chr2	28000000	28099999	1	rect	green
chr2	28100000	28199999	2	rect	green
chr2	28200000	28299999	2	rect	green
chr2	28300000	28399999	2	rect	green
chr2	28400000	28499999	2	rect	green
chr2	28500000	28599999	1	rect	green
chr2	28600000	28699999	1	rect	green
chr2	28700000	28799999	5	rect	green
chr2	28800000	28899999	3	rect	green
chr2	29000000	29099999	6	rect	green
chr2	29100000	29199999	3	rect	green
chr2	29200000	29299999	1	rect	green
chr2	29300000	29399999	3	rect	green
chr2	29400000	29499999	2	rect	green
chr2	29500000	29599999	1	rect	green
chr2	29600000	29699999	3	rect	green
chr2	29700000	29799999	4	rect	green
chr2	29800000	29899999	3	rect	green
chr2	29900000	29999999	1	rect	green
chr2	30000000	30099999	2	rect	green
chr2	30100000	30199999	1	rect	green
chr2	30200000	30299999	3	rect	green
chr2	30300000	30399999	2	rect	green
chr2	30400000	30499999	3	rect	green
chr2	30500000	30599999	3	rect	green
chr2	30600000	30699999	2	rect	green
chr2	30700000	30799999	3	rect	green
chr2	30800000	30899999	3	rect	green
chr2	30900000	30999999	2	rect	green
chr2	31000000	31099999	3	rect	green
chr2	31100000	31199999	2	rect	green
chr2	31200000	31299999	5	rect	green
chr2	31300000	31399999	4	rect	green
chr2	31400000	31499999	3	rect	green
chr2	31600000	31699999	2	rect	green
chr2	31700000	31799999	5	rect	green
chr2	31800000	31899999	3	rect	green
chr2	31900000	31999999	2	rect	green
chr2	32000000	32099999	4	rect	green
chr2	32100000	32199999	1	rect	green
chr2	32200000	32299999	4	rect	green
chr2	32300000	32399999	2	rect	green
chr2	32600000	32699999	5	rect	green
chr2	32700000	32799999	2	rect	green
chr2	33100000	33199999	4	rect	green
chr2	33300000	33399999	2	rect	green
chr2	33400000	33499999	6	rect	green
chr2	33600000	33699999	2	rect	green
chr2	33700000	33799999	3	rect	green
chr2	33800000	33899999	3	rect	green
chr2	33900000	33999999	3	rect	green
chr2	34000000	34099999	1	rect	green
chr2	34100000	34199999	2	rect	green
chr2	34200000	34299999	1	rect	green
chr2	34300000	34399999	3	rect	green
chr2	34400000	34499999	1	rect	green
chr2	34500000	34599999	2	rect	green
chr2	34600000	34699999	1	rect	green
chr2	34700000	34799999	6	rect	green
chr2	34800000	34899999	2	rect	green
chr2	34900000	34999999	3	rect	green
chr2	35000000	35099999	4	rect	green
chr2	35100000	35199999	3	rect	green
chr2	35200000	35299999	6	rect	green
chr2	35300000	35399999	4	rect	green
chr2	35400000	35499999	6	rect	green
chr2	35500000	35599999	7	rect	green
chr2	35600000	35699999	2	rect	green
chr2	35700000	35799999	2	rect	green
chr2	35800000	35899999	2	rect	green
chr2	35900000	35999999	3	rect	green
chr2	36000000	36099999	2	rect	green
chr2	36100000	36199999	1	rect	green
chr2	36200000	36299999	4	rect	green
chr2	36300000	36399999	4	rect	green
chr2	36400000	36499999	6	rect	green
chr2	36500000	36599999	1	rect	green
chr2	36600000	36699999	1	rect	green
chr2	36700000	36799999	1	rect	green
chr2	37000000	37099999	1	rect	green
chr2	37100000	37199999	1	rect	green
chr2	37200000	37299999	3	rect	green
chr2	37300000	37399999	1	rect	green
chr2	37400000	37499999	4	rect	green
chr2	37500000	37599999	2	rect	green
chr2	37600000	37699999	2	rect	green
chr2	37700000	37799999	1	rect	green
chr2	37800000	37899999	3	rect	green
chr2	38000000	38099999	4	rect	green
chr2	38100000	38199999	1	rect	green
chr2	38200000	38299999	1	rect	green
chr2	38400000	38499999	1	rect	green
chr2	38500000	38599999	1	rect	green
chr2	38600000	38699999	2	rect	green
chr2	38700000	38799999	4	rect	green
chr2	38800000	38899999	3	rect	green
chr2	38900000	38999999	1	rect	green
chr2	39000000	39099999	7	rect	green
chr2	39100000	39199999	2	rect	green
chr2	39500000	39599999	4	rect	green
chr2	40100000	40199999	9	rect	green
chr2	40200000	40299999	1	rect	green
chr2	40300000	40399999	2	rect	green
chr2	40400000	40499999	3	rect	green
chr2	40500000	40599999	3	rect	green
chr2	40600000	40699999	6	rect	green
chr2	40700000	40799999	1	rect	green
chr2	40800000	40899999	1	rect	green
chr2	40900000	40999999	2	rect	green
chr2	41000000	41099999	3	rect	green
chr2	41100000	41199999	4	rect	green
chr2	41200000	41299999	2	rect	green
chr2	41300000	41399999	1	rect	green
chr2	41400000	41499999	4	rect	green
chr2	41500000	41599999	5	rect	green
chr2	41600000	41699999	1	rect	green
chr2	41700000	41799999	2	rect	green
chr2	41800000	41899999	1	rect	green
chr2	41900000	41999999	2	rect	green
chr2	42100000	42199999	2	rect	green
chr2	42200000	42299999	5	rect	green
chr2	42300000	42399999	3	rect	green
chr2	42700000	42799999	3	rect	green
chr2	42800000	42899999	2	rect	green
chr2	43000000	43099999	4	rect	green
chr2	43100000	43199999	2	rect	green
chr2	43300000	43399999	3	rect	green
chr2	43400000	43499999	2	rect	green
chr2	43600000	43699999	2	rect	green
chr2	43700000	43799999	2	rect	green
chr2	43900000	43999999	2	rect	green
chr2	44000000	44099999	4	rect	green
chr2	44100000	44199999	1	rect	green
chr2	44200000	44299999	1	rect	green
chr2	44300000	44399999	5	rect	green
chr2	44400000	44499999	5	rect	green
chr2	44500000	44599999	5	rect	green
chr2	44600000	44699999	2	rect	green
chr2	44700000	44799999	6	rect	green
chr2	44800000	44899999	1	rect	green
chr2	44900000	44999999	3	rect	green
chr2	45000000	45099999	3	rect	green
chr2	45100000	45199999	2	rect	green
chr2	45200000	45299999	1	rect	green
chr2	45300000	45399999	3	rect	green
chr2	45600000	45699999	2	rect	green
chr2	45800000	45899999	1	rect	green
chr2	45900000	45999999	1	rect	green
chr2	46000000	46099999	1	rect	green
chr2	46100000	46199999	2	rect	green
chr2	46200000	46299999	3	rect	green
chr2	46300000	46399999	2	rect	green
chr2	46500000	46599999	1	rect	green
chr2	46700000	46799999	2	rect	green
chr2	46800000	46899999	1	rect	green
chr2	46900000	46999999	3	rect	green
chr2	47000000	47099999	3	rect	green
chr2	47100000	47199999	1	rect	green
chr2	47300000	47399999	1	rect	green
chr2	47400000	47499999	1	rect	green
chr2	47600000	47699999	3	rect	green
chr2	47700000	47799999	4	rect	green
chr2	47900000	47999999	1	rect	green
chr2	48000000	48099999	1	rect	green
chr2	48200000	48299999	3	rect	green
chr2	48300000	48399999	6	rect	green
chr2	48400000	48499999	2	rect	green
chr2	48500000	48599999	1	rect	green
chr2	48600000	48699999	4	rect	green
chr2	48700000	48799999	1	rect	green
chr2	48900000	48999999	1	rect	green
chr2	49000000	49099999	4	rect	green
chr2	49100000	49199999	3	rect	green
chr2	49200000	49299999	6	rect	green
chr2	49300000	49399999	2	rect	green
chr2	49400000	49499999	2	rect	green
chr2	49500000	49599999	5	rect	green
chr2	49600000	49699999	4	rect	green
chr2	49700000	49799999	1	rect	green
chr2	49800000	49899999	1	rect	green
chr2	49900000	49999999	3	rect	green
chr2	50000000	50099999	1	rect	green
chr2	50100000	50199999	1	rect	green
chr2	50200000	50299999	3	rect	green
chr2	50400000	50499999	3	rect	green
chr2	50500000	50599999	5	rect	green
chr2	50600000	50699999	2	rect	green
chr2	50700000	50799999	1	rect	green
chr2	50800000	50899999	1	rect	green
chr2	50900000	50999999	2	rect	green
chr2	51000000	51099999	2	rect	green
chr2	51200000	51299999	3	rect	green
chr2	51300000	51399999	2	rect	green
chr2	51400000	51499999	1	rect	green
chr2	51500000	51599999	5	rect	green
chr2	51600000	51699999	2	rect	green
chr2	51700000	51799999	4	rect	green
chr2	51800000	51899999	1	rect	green
chr2	51900000	51999999	1	rect	green
chr2	52000000	52099999	1	rect	green
chr2	52200000	52299999	2	rect	green
chr2	52400000	52499999	3	rect	green
chr2	52500000	52599999	2	rect	green
chr2	52600000	52699999	2	rect	green
chr2	52700000	52799999	5	rect	green
chr2	52800000	52899999	1	rect	green
chr2	52900000	52999999	3	rect	green
chr3	100000	199999	1	rect	green
chr3	600000	699999	3	rect	green
chr3	900000	999999	1	rect	green
chr3	1100000	1199999	2	rect	green
chr3	1200000	1299999	4	rect	green
chr3	1300000	1399999	6	rect	green
chr3	1400000	1499999	1	rect	green
chr3	1500000	1599999	2	rect	green
chr3	1600000	1699999	2	rect	green
chr3	1700000	1799999	5	rect	green
chr3	1800000	1899999	6	rect	green
chr3	1900000	1999999	2	rect	green
chr3	2000000	2099999	5	rect	green
chr3	2100000	2199999	5	rect	green
chr3	2200000	2299999	3	rect	green
chr3	2300000	2399999	1	rect	green
chr3	2400000	2499999	3	rect	green
chr3	2500000	2599999	4	rect	green
chr3	2600000	2699999	2	rect	green
chr3	2700000	2799999	4	rect	green
chr3	2800000	2899999	2	rect	green
chr3	2900000	2999999	3	rect	green
chr3	3000000	3099999	2	rect	green
chr3	3100000	3199999	3	rect	green
chr3	3200000	3299999	1	rect	green
chr3	3300000	3399999	4	rect	green
chr3	3400000	3499999	6	rect	green
chr3	3500000	3599999	3	rect	green
chr3	3600000	3699999	1	rect	green
chr3	3700000	3799999	2	rect	green
chr3	3800000	3899999	4	rect	green
chr3	3900000	3999999	1	rect	green
chr3	4000000	4099999	1	rect	green
chr3	4100000	4199999	1	rect	green
chr3	4200000	4299999	3	rect	green
chr3	4300000	4399999	3	rect	green
chr3	4400000	4499999	3	rect	green
chr3	4500000	4599999	3	rect	green
chr3	4600000	4699999	4	rect	green
chr3	4700000	4799999	3	rect	green
